	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_furniture.c3d
	FVHL	FVHL	FVHL	FVHR	FVHR	FVHR
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
278	1.02440	0.26039	0.08341	0.98252	-0.01706	0.08023
279	1.02467	0.26036	0.08345	0.98276	-0.01700	0.08027
280	1.02464	0.26032	0.08353	0.98276	-0.01702	0.08028
281	1.02456	0.26073	0.08371	0.98294	-0.01678	0.08049
282	1.02453	0.26077	0.08376	0.98293	-0.01661	0.08061
283	1.02464	0.26038	0.08355	0.98296	-0.01680	0.08066
284	1.02456	0.26037	0.08362	0.98296	-0.01678	0.08051
285	1.02449	0.26037	0.08370	0.98305	-0.01681	0.08048
286	1.02427	0.26041	0.08354	0.98298	-0.01679	0.08046
287	1.02432	0.26046	0.08354	0.98281	-0.01660	0.08039
288	1.02417	0.26084	0.08384	0.98272	-0.01704	0.08021
289	1.02421	0.26049	0.08357	0.98270	-0.01698	0.08005
290	1.02372	0.26108	0.08404	0.98287	-0.01699	0.07986
291	1.02376	0.26098	0.08388	0.98331	-0.01692	0.07959
292	1.02345	0.26140	0.08399	0.98439	-0.01651	0.07944
293	1.02279	0.26203	0.08390	0.98493	-0.01631	0.07931
294	1.02224	0.26302	0.08418	0.98554	-0.01522	0.07976
295	1.02101	0.26427	0.08428	0.98753	-0.01468	0.07985
296	1.02040	0.26494	0.08401	0.98941	-0.01396	0.07997
297	1.01923	0.26624	0.08369	0.99135	-0.01276	0.08048
298	1.01798	0.26788	0.08423	0.99303	-0.01228	0.07996
299	1.01672	0.26882	0.08428	0.99502	-0.01098	0.08054
300	1.01540	0.26995	0.08421	0.99609	-0.01038	0.08012
301	1.01447	0.27062	0.08419	0.99759	-0.00970	0.08015
302	1.01394	0.27131	0.08425	0.99871	-0.00902	0.08012
303	1.01315	0.27213	0.08426	0.99998	-0.00789	0.08115
304	1.01270	0.27274	0.08398	1.00145	-0.00750	0.08091
305	1.01287	0.27306	0.08385	1.00256	-0.00728	0.08070
306	1.01351	0.27317	0.08357	1.00357	-0.00742	0.08034
307	1.01406	0.27330	0.08378	1.00477	-0.00720	0.08023
308	1.01489	0.27354	0.08342	1.00553	-0.00753	0.07994
309	1.01600	0.27315	0.08339	1.00705	-0.00694	0.08046
310	1.01702	0.27308	0.08394	1.00782	-0.00725	0.08027
311	1.01841	0.27323	0.08414	1.00869	-0.00695	0.08066
312	1.02003	0.27302	0.08434	1.01042	-0.00723	0.08084
313	1.02139	0.27280	0.08408	1.01116	-0.00745	0.08165
314	1.02352	0.27234	0.08326	1.01286	-0.00820	0.08083
315	1.02555	0.27306	0.08451	1.01577	-0.00763	0.08089
316	1.02715	0.27277	0.08397	1.01732	-0.00769	0.08063
317	1.02957	0.27267	0.08389	1.02011	-0.00783	0.08082
318	1.03187	0.27249	0.08344	1.02203	-0.00801	0.08094
319	1.03460	0.27265	0.08387	1.02527	-0.00775	0.08093
320	1.03763	0.27206	0.08370	1.02852	-0.00831	0.08090
321	1.04029	0.27253	0.08381	1.03123	-0.00794	0.08126
322	1.04363	0.27226	0.08420	1.03477	-0.00860	0.08135
323	1.04742	0.27216	0.08482	1.03820	-0.00841	0.08187
324	1.05124	0.27233	0.08392	1.04203	-0.00822	0.08189
325	1.05487	0.27193	0.08371	1.04593	-0.00883	0.08150
326	1.05911	0.27188	0.08411	1.05083	-0.00847	0.08165
327	1.06363	0.27192	0.08464	1.05524	-0.00913	0.08132
328	1.06834	0.27148	0.08368	1.05996	-0.00921	0.08154
329	1.07296	0.27135	0.08425	1.06494	-0.00907	0.08088
330	1.07747	0.27180	0.08476	1.07020	-0.00896	0.08157
331	1.08321	0.27200	0.08450	1.07575	-0.00922	0.08107
332	1.08763	0.27174	0.08414	1.08163	-0.00925	0.08141
333	1.09306	0.27202	0.08465	1.08709	-0.00912	0.08138
334	1.09821	0.27163	0.08448	1.09311	-0.00885	0.08136
335	1.10380	0.27197	0.08490	1.09969	-0.00893	0.08177
336	1.10928	0.27233	0.08462	1.10557	-0.00912	0.08044
337	1.11498	0.27243	0.08414	1.11256	-0.00888	0.08089
338	1.12083	0.27262	0.08470	1.11852	-0.00829	0.08181
339	1.12700	0.27277	0.08499	1.12527	-0.00794	0.08144
340	1.13260	0.27320	0.08513	1.13220	-0.00819	0.08138
341	1.13865	0.27357	0.08482	1.13875	-0.00810	0.08150
342	1.14439	0.27366	0.08410	1.14671	-0.00700	0.08149
343	1.15049	0.27451	0.08479	1.15385	-0.00675	0.08171
344	1.15643	0.27490	0.08503	1.16085	-0.00659	0.08158
345	1.16279	0.27495	0.08457	1.16791	-0.00609	0.08100
346	1.16911	0.27581	0.08443	1.17536	-0.00513	0.08186
347	1.17512	0.27621	0.08482	1.18210	-0.00488	0.08204
348	1.18152	0.27681	0.08476	1.18974	-0.00450	0.08238
349	1.18764	0.27714	0.08529	1.19701	-0.00390	0.08208
350	1.19391	0.27756	0.08515	1.20388	-0.00308	0.08216
351	1.20042	0.27850	0.08501	1.21162	-0.00275	0.08189
352	1.20721	0.27883	0.08493	1.21940	-0.00188	0.08186
353	1.21342	0.27987	0.08423	1.22661	-0.00081	0.08183
354	1.21963	0.27970	0.08460	1.23423	-0.00051	0.08225
355	1.22636	0.28107	0.08530	1.24167	0.00025	0.08235
356	1.23275	0.28182	0.08478	1.24922	0.00104	0.08187
357	1.23905	0.28239	0.08485	1.25686	0.00178	0.08244
358	1.24492	0.28364	0.08524	1.26457	0.00320	0.08323
359	1.25166	0.28396	0.08448	1.27173	0.00376	0.08253
360	1.25851	0.28522	0.08491	1.27929	0.00498	0.08218
361	1.26488	0.28586	0.08500	1.28668	0.00624	0.08296
362	1.27156	0.28657	0.08476	1.29408	0.00683	0.08241
363	1.27872	0.28751	0.08492	1.30183	0.00737	0.08256
364	1.28557	0.28894	0.08540	1.30939	0.00855	0.08336
365	1.29165	0.28889	0.08455	1.31707	0.00962	0.08333
366	1.29914	0.29007	0.08513	1.32401	0.00983	0.08309
367	1.30609	0.29084	0.08554	1.33186	0.01141	0.08442
368	1.31276	0.29196	0.08601	1.33952	0.01208	0.08433
369	1.32011	0.29287	0.08613	1.34761	0.01308	0.08439
370	1.32723	0.29418	0.08579	1.35472	0.01462	0.08431
371	1.33467	0.29498	0.08526	1.36311	0.01554	0.08429
372	1.34173	0.29529	0.08498	1.37164	0.01612	0.08433
373	1.34897	0.29687	0.08570	1.37939	0.01748	0.08474
374	1.35632	0.29763	0.08495	1.38679	0.01894	0.08474
375	1.36294	0.29890	0.08583	1.39497	0.01910	0.08426
376	1.37020	0.29941	0.08555	1.40276	0.02071	0.08513
377	1.37760	0.30087	0.08631	1.40990	0.02081	0.08429
378	1.38519	0.30115	0.08652	1.41773	0.02232	0.08536
379	1.39321	0.30242	0.08609	1.42573	0.02297	0.08633
380	1.40117	0.30284	0.08601	1.43207	0.02386	0.08472
381	1.40793	0.30368	0.08530	1.44054	0.02400	0.08433
382	1.41550	0.30444	0.08547	1.44817	0.02510	0.08471
383	1.42352	0.30478	0.08460	1.45579	0.02548	0.08472
384	1.43117	0.30555	0.08516	1.46146	0.02647	0.08457
385	1.43836	0.30629	0.08470	1.47001	0.02674	0.08457
386	1.44599	0.30677	0.08482	1.47695	0.02748	0.08409
387	1.45330	0.30766	0.08505	1.48389	0.02809	0.08517
388	1.46154	0.30731	0.08479	1.49086	0.02885	0.08574
389	1.46827	0.30838	0.08521	1.49836	0.02923	0.08644
390	1.47558	0.30856	0.08492	1.50473	0.02909	0.08560
391	1.48314	0.30904	0.08435	1.51129	0.02982	0.08537
392	1.49086	0.30980	0.08516	1.51844	0.03030	0.08528
393	1.49819	0.30977	0.08556	1.52545	0.03048	0.08610
394	1.50562	0.31081	0.08627	1.53153	0.03097	0.08562
395	1.51284	0.31060	0.08584	1.53817	0.03086	0.08567
396	1.51994	0.31095	0.08465	1.54401	0.03135	0.08534
397	1.52789	0.31124	0.08526	1.55085	0.03099	0.08559
