	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d	Z:\Vacuum\Pilot Testing\Test_Aug11\FV_empty.c3d
	FVHL	FVHL	FVHL	FVHR	FVHR	FVHR
	TARGET	TARGET	TARGET	TARGET	TARGET	TARGET
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
161	1.34840	0.27111	0.08574	1.35466	-0.01109	0.07867
162	1.35046	0.27132	0.08540	1.35719	-0.01141	0.07861
163	1.35357	0.27103	0.08530	1.35957	-0.01186	0.07771
164	1.35568	0.27087	0.08489	1.36144	-0.01195	0.07751
165	1.35754	0.27113	0.08549	1.36390	-0.01152	0.07864
166	1.35934	0.27123	0.08543	1.36576	-0.01107	0.07911
167	1.36078	0.27128	0.08566	1.36725	-0.01095	0.07908
168	1.36114	0.27148	0.08579	1.36831	-0.01129	0.07843
169	1.36190	0.27111	0.08552	1.36929	-0.01174	0.07811
170	1.36214	0.27151	0.08577	1.37008	-0.01102	0.07882
171	1.36201	0.27160	0.08570	1.37001	-0.01166	0.07838
172	1.36139	0.27183	0.08577	1.37029	-0.01086	0.07869
173	1.36094	0.27194	0.08552	1.37020	-0.01078	0.07868
174	1.36025	0.27231	0.08602	1.36972	-0.01102	0.07812
175	1.35923	0.27213	0.08568	1.36874	-0.01046	0.07846
176	1.35715	0.27279	0.08624	1.36723	-0.00995	0.07911
177	1.35585	0.27277	0.08575	1.36594	-0.00938	0.07947
178	1.35396	0.27327	0.08515	1.36444	-0.00963	0.07883
179	1.35132	0.27300	0.08508	1.36307	-0.00910	0.07907
180	1.34866	0.27313	0.08573	1.35994	-0.00880	0.07854
181	1.34574	0.27365	0.08565	1.35785	-0.00869	0.07848
182	1.34209	0.27395	0.08578	1.35468	-0.00837	0.07912
183	1.33881	0.27382	0.08529	1.35140	-0.00787	0.07920
184	1.33494	0.27460	0.08588	1.34759	-0.00831	0.07886
185	1.33118	0.27410	0.08536	1.34370	-0.00765	0.07858
186	1.32658	0.27475	0.08608	1.33966	-0.00808	0.07834
187	1.32153	0.27513	0.08554	1.33544	-0.00724	0.07904
188	1.31704	0.27512	0.08607	1.33007	-0.00779	0.07799
189	1.31175	0.27510	0.08522	1.32554	-0.00738	0.07838
190	1.30652	0.27491	0.08565	1.31971	-0.00798	0.07811
191	1.30093	0.27545	0.08590	1.31438	-0.00747	0.07860
192	1.29552	0.27506	0.08534	1.30821	-0.00685	0.07891
193	1.28919	0.27523	0.08536	1.30280	-0.00660	0.07810
194	1.28295	0.27501	0.08555	1.29586	-0.00764	0.07741
195	1.27660	0.27590	0.08635	1.28975	-0.00662	0.07898
196	1.26947	0.27582	0.08609	1.28324	-0.00612	0.07857
197	1.26248	0.27632	0.08623	1.27660	-0.00608	0.07827
198	1.25554	0.27663	0.08612	1.26929	-0.00647	0.07743
199	1.24811	0.27629	0.08564	1.26237	-0.00580	0.07808
200	1.24104	0.27635	0.08644	1.25581	-0.00511	0.07789
201	1.23350	0.27667	0.08617	1.24829	-0.00474	0.07743
202	1.22521	0.27750	0.08594	1.24001	-0.00535	0.07717
203	1.21691	0.27771	0.08539	1.23238	-0.00445	0.07745
204	1.20842	0.27816	0.08547	1.22454	-0.00420	0.07683
205	1.20021	0.27853	0.08596	1.21743	-0.00369	0.07731
206	1.19210	0.27850	0.08576	1.20878	-0.00389	0.07680
207	1.18337	0.27905	0.08584	1.20112	-0.00315	0.07736
208	1.17426	0.27921	0.08545	1.19317	-0.00260	0.07753
209	1.16558	0.27951	0.08491	1.18526	-0.00187	0.07764
210	1.15647	0.27996	0.08548	1.17644	-0.00192	0.07745
211	1.14732	0.27997	0.08490	1.16701	-0.00156	0.07750
212	1.13894	0.28068	0.08566	1.15879	-0.00168	0.07731
213	1.12961	0.28038	0.08482	1.15032	-0.00171	0.07673
214	1.12042	0.28030	0.08525	1.14157	-0.00095	0.07712
215	1.11181	0.28073	0.08593	1.13328	-0.00079	0.07735
216	1.10246	0.28099	0.08549	1.12576	-0.00062	0.07819
217	1.09414	0.28150	0.08493	1.11680	-0.00090	0.07676
218	1.08499	0.28124	0.08475	1.10937	-0.00004	0.07667
219	1.07614	0.28131	0.08565	1.10077	0.00007	0.07710
220	1.06707	0.28189	0.08558	1.09219	0.00017	0.07738
221	1.05850	0.28182	0.08509	1.08367	0.00053	0.07778
222	1.05033	0.28170	0.08533	1.07601	0.00112	0.07790
223	1.04190	0.28254	0.08506	1.06854	0.00119	0.07776
224	1.03385	0.28284	0.08508	1.06150	0.00133	0.07745
225	1.02556	0.28287	0.08506	1.05433	0.00181	0.07727
226	1.01794	0.28311	0.08492	1.04683	0.00164	0.07642
227	1.01086	0.28274	0.08445	1.04081	0.00240	0.07723
228	1.00394	0.28296	0.08477	1.03433	0.00224	0.07726
229	0.99732	0.28293	0.08462	1.02709	0.00216	0.07697
230	0.99090	0.28263	0.08502	1.02209	0.00174	0.07720
231	0.98577	0.28280	0.08564	1.01619	0.00156	0.07680
232	0.98021	0.28236	0.08518	1.01067	0.00127	0.07759
233	0.97486	0.28264	0.08460	1.00588	0.00183	0.07713
234	0.97023	0.28235	0.08381	1.00165	0.00126	0.07611
235	0.96626	0.28239	0.08459	0.99826	0.00144	0.07666
236	0.96213	0.28256	0.08450	0.99478	0.00163	0.07691
